Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,9482,2,0,1172500.0,1,23,9,2.5,3067.0,2.0,1.0,1.0,195.0,126.0,1970.0,31,-37.8084,144.9973,2,4019.0
0,11881,1,2,441000.0,3,85,10,2.5,3067.0,1.0,1.0,1.0,0.0,126.0,1970.0,31,-37.8016,144.9988,2,4019.0
0,3286,2,0,1310000.0,1,106,12,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,31,-37.809,144.9976,2,4019.0
0,9211,3,0,1200000.0,1,106,14,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,31,-37.8056,144.993,2,4019.0
0,12273,3,0,1176500.0,1,117,14,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,31,-37.8021,144.9965,2,4019.0
0,4017,3,0,955000.0,1,49,17,2.5,3067.0,3.0,1.0,0.0,183.0,126.0,1970.0,31,-37.8022,144.9975,2,4019.0
0,9250,2,0,890000.0,1,23,17,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,31,-37.8011,145.0004,2,4019.0
0,7273,4,0,1330000.0,0,111,18,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,31,-37.8073,144.9952,2,4019.0
0,2403,3,1,900000.0,1,19,18,2.5,3067.0,3.0,2.0,2.0,0.0,126.0,2010.0,31,-37.8093,144.9959,2,4019.0
0,11073,2,2,500000.0,1,49,19,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,31,-37.8015,144.9972,2,4019.0
0,10411,2,0,1100000.0,0,23,19,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,31,-37.8079,144.9977,2,4019.0
0,9728,2,0,1315000.0,1,135,21,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,31,-37.808,144.994,2,4019.0
0,10064,1,2,426000.0,3,85,26,2.5,3067.0,1.0,1.0,1.0,0.0,126.0,1970.0,31,-37.8016,144.9988,2,4019.0
0,9621,3,0,1447500.0,0,155,26,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,31,-37.8017,145.0001,2,4019.0
0,1791,1,2,457000.0,1,106,26,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,1970.0,31,-37.8078,144.9965,2,4019.0
0,3125,2,0,1135000.0,1,155,26,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,31,-37.8005,144.9952,2,4019.0
0,7564,4,0,1542000.0,1,49,30,2.5,3067.0,4.0,3.0,1.0,0.0,126.0,1970.0,31,-37.7994,144.9965,2,4019.0
0,3364,3,0,1290000.0,1,23,31,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,1970.0,31,-37.805,144.9943,2,4019.0
0,11237,3,0,1290000.0,1,23,31,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,31,-37.8007,144.9958,2,4019.0
0,1633,1,2,470000.0,1,155,32,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,31,-37.8055,144.9961,2,4019.0
0,9594,2,0,1180000.0,1,106,36,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,31,-37.8016,144.9956,2,4019.0
0,9484,3,0,1195000.0,3,106,36,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,31,-37.8022,144.9954,2,4019.0
0,5127,2,0,1012500.0,1,155,38,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,31,-37.8021,144.9976,2,4019.0
0,6240,2,0,1030000.0,1,23,46,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,31,-37.8086,144.9946,2,4019.0
2,3092,3,1,840000.0,0,155,43,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,21,-37.718,144.878,6,3464.0
2,10215,3,0,730000.0,4,155,45,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,3464.0
2,10215,3,0,770000.0,3,155,48,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,3464.0
2,5661,2,0,603000.0,1,155,48,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,21,-37.7294,144.888,6,3464.0
2,895,3,1,700000.0,1,28,48,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,21,-37.7218,144.8837,6,3464.0
2,650,3,0,600000.0,1,133,48,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,21,-37.7273,144.8744,6,3464.0
2,4761,2,2,500000.0,4,16,48,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,21,-37.7215,144.8864,6,3464.0
2,10502,3,0,720000.0,1,16,51,13.5,3042.0,2.0,1.0,1.0,620.0,126.0,1970.0,21,-37.7173,144.8872,6,3464.0
2,8072,4,0,785000.0,1,53,51,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1970.0,21,-37.7259,144.8792,6,3464.0
2,4589,2,1,450000.0,1,16,52,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,21,-37.7216,144.871,6,3464.0
2,7023,2,2,515000.0,1,16,53,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,21,-37.7298,144.8883,6,3464.0
2,4852,2,2,530000.0,1,155,1,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,21,-37.7234,144.8792,6,3464.0
2,2273,3,0,805000.0,1,155,2,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,21,-37.7217,144.8783,6,3464.0
2,706,3,2,752000.0,1,155,3,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,21,-37.7302,144.8855,6,3464.0
2,2821,2,2,440000.0,1,16,9,13.5,3042.0,2.0,1.0,1.0,192.0,126.0,1970.0,21,-37.7177,144.8787,6,3464.0
2,5902,5,0,755000.0,0,186,10,13.5,3042.0,3.0,2.0,2.0,596.0,126.0,1970.0,21,-37.7248,144.8699,6,3464.0
2,4721,3,1,700000.0,0,28,12,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,21,-37.727,144.887,6,3464.0
2,3804,3,0,830000.0,1,16,13,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,21,-37.7186,144.876,6,3464.0
2,8896,2,2,462500.0,1,16,14,13.5,3042.0,2.0,1.0,1.0,164.0,126.0,2003.0,21,-37.7218,144.8863,6,3464.0
2,9294,3,0,670000.0,3,16,14,13.5,3042.0,3.0,2.0,2.0,657.0,126.0,1970.0,21,-37.7269,144.8742,6,3464.0
2,3601,2,0,675000.0,1,16,14,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,21,-37.7187,144.8765,6,3464.0
2,12158,3,0,910000.0,1,139,17,13.5,3042.0,3.0,1.0,1.0,775.0,126.0,1970.0,21,-37.7231,144.8835,6,3464.0
2,9615,3,0,810000.0,0,16,18,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,21,-37.7285,144.8694,6,3464.0
2,2811,3,0,715000.0,1,204,18,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,21,-37.7164,144.8792,6,3464.0
2,1333,3,0,790000.0,1,155,18,13.5,3042.0,3.0,1.0,3.0,614.0,126.0,1970.0,21,-37.7194,144.8827,6,3464.0
2,7268,3,1,540000.0,3,155,19,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,21,-37.7231,144.8802,6,3464.0
2,8152,3,1,825000.0,3,16,21,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,21,-37.72,144.8776,6,3464.0
2,1004,3,0,685000.0,1,16,24,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,21,-37.7226,144.8733,6,3464.0
2,1687,3,0,805000.0,1,16,26,13.5,3042.0,3.0,1.0,1.0,623.0,126.0,1970.0,21,-37.7184,144.882,6,3464.0
2,4413,2,2,510000.0,1,155,26,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,1970.0,21,-37.7202,144.8797,6,3464.0
2,1323,3,0,612000.0,1,155,26,13.5,3042.0,3.0,2.0,1.0,212.0,126.0,1970.0,21,-37.7181,144.8824,6,3464.0
2,1803,3,0,662000.0,1,28,27,13.5,3042.0,3.0,1.0,2.0,612.0,126.0,1970.0,21,-37.7169,144.8815,6,3464.0
2,7894,4,0,978000.0,1,155,30,13.5,3042.0,4.0,3.0,2.0,532.0,126.0,1970.0,21,-37.7263,144.869,6,3464.0
2,7780,3,0,720000.0,0,155,31,13.5,3042.0,3.0,1.0,1.0,585.0,126.0,1970.0,21,-37.72,144.878,6,3464.0
2,9732,4,0,765000.0,1,184,36,13.5,3042.0,4.0,1.0,2.0,509.0,126.0,1970.0,21,-37.7261,144.8785,6,3464.0
2,12790,4,0,900000.0,1,90,36,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,21,-37.7256,144.8739,6,3464.0
4,1305,2,0,1275000.0,1,260,43,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,25,-37.8459,144.9555,5,3280.0
4,12789,2,0,1455000.0,1,227,43,3.3,3206.0,2.0,1.0,0.0,159.0,126.0,1970.0,25,-37.845,144.9538,5,3280.0
4,13261,3,0,1850000.0,1,85,48,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,25,-37.8452,144.9488,5,3280.0
4,8386,2,0,1436000.0,1,192,48,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,25,-37.8431,144.9565,5,3280.0
4,12155,2,0,1110000.0,1,135,51,3.3,3206.0,1.0,1.0,0.0,147.0,126.0,1900.0,25,-37.8444,144.9484,5,3280.0
4,10484,2,0,1550000.0,1,219,52,3.3,3206.0,2.0,1.0,1.0,167.0,126.0,1970.0,25,-37.8405,144.9521,5,3280.0
4,1286,4,0,2300000.0,1,135,52,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,25,-37.8447,144.9523,5,3280.0
4,9758,3,1,1550000.0,4,135,53,3.3,3206.0,3.0,2.0,2.0,718.0,126.0,1970.0,25,-37.8443,144.9598,5,3280.0
4,151,3,0,1800000.0,4,85,53,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,25,-37.8415,144.952,5,3280.0
4,6504,2,0,2120000.0,1,85,1,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,25,-37.8422,144.9554,5,3280.0
4,6750,3,0,1800000.0,4,41,1,3.3,3206.0,3.0,1.0,1.0,253.0,126.0,1970.0,25,-37.8443,144.9579,5,3280.0
4,5821,3,0,1800000.0,1,135,1,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,25,-37.8421,144.9571,5,3280.0
4,9360,2,0,1810000.0,0,85,2,3.3,3206.0,2.0,1.0,0.0,240.0,126.0,1970.0,25,-37.8379,144.9539,5,3280.0
4,4149,3,0,2615000.0,1,41,2,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,25,-37.8415,144.9585,5,3280.0
4,5645,5,0,2100000.0,1,85,2,3.3,3206.0,5.0,2.0,1.0,237.0,126.0,1970.0,25,-37.8436,144.9557,5,3280.0
4,7552,3,0,1300000.0,1,260,2,3.3,3206.0,3.0,1.0,0.0,129.0,126.0,1970.0,25,-37.8422,144.94899999999996,5,3280.0
4,9755,3,0,1370000.0,1,85,5,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,25,-37.8451,144.9511,5,3280.0
4,11200,2,0,1000000.0,1,41,7,3.3,3206.0,2.0,1.0,0.0,288.0,126.0,1970.0,25,-37.8407,144.9523,5,3280.0
4,11974,3,0,2575000.0,1,85,12,3.3,3206.0,3.0,2.0,1.0,228.0,126.0,1970.0,25,-37.8445,144.9501,5,3280.0
4,11439,2,0,1322500.0,1,85,12,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,25,-37.8443,144.9481,5,3280.0
4,8106,2,0,1562500.0,1,85,12,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,25,-37.8424,144.9562,5,3280.0
4,12811,3,0,2000000.0,4,192,13,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,25,-37.847,144.9575,5,3280.0
4,2203,3,0,1900000.0,1,85,18,3.3,3206.0,3.0,1.0,0.0,209.0,126.0,1900.0,25,-37.8468,144.9546,5,3280.0
4,1121,2,2,647000.0,1,85,24,3.3,3206.0,2.0,1.0,1.0,0.0,126.0,1970.0,25,-37.846,144.9542,5,3280.0
4,10567,3,0,2100000.0,3,135,27,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,25,-37.8427,144.9546,5,3280.0
4,9727,3,0,2000000.0,0,135,30,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,25,-37.8461,144.9528,5,3280.0
4,2434,1,2,442500.0,1,135,31,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,25,-37.8421,144.9517,5,3280.0
4,7667,2,0,1340000.0,1,85,31,3.3,3206.0,2.0,1.0,0.0,136.0,126.0,1970.0,25,-37.846,144.9517,5,3280.0
4,7904,3,0,1801000.0,1,260,31,3.3,3206.0,3.0,1.0,1.0,202.0,126.0,1970.0,25,-37.8429,144.9493,5,3280.0
4,6636,3,0,1532000.0,1,46,32,3.3,3206.0,3.0,3.0,1.0,0.0,126.0,1970.0,25,-37.8415,144.9585,5,3280.0
4,6225,4,0,2140000.0,1,85,35,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,25,-37.8434,144.9495,5,3280.0
4,9370,2,0,1750000.0,1,135,36,3.3,3206.0,2.0,1.0,1.0,162.0,126.0,1970.0,25,-37.8416,144.9488,5,3280.0
4,10807,2,0,980000.0,1,85,38,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,25,-37.8387,144.9519,5,3280.0
4,5595,3,0,2030000.0,1,260,39,3.3,3206.0,3.0,2.0,0.0,152.0,126.0,1970.0,25,-37.8488,144.9551,5,3280.0
4,3504,3,0,1740000.0,0,135,39,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,25,-37.8448,144.9453,5,3280.0
4,12946,1,0,985000.0,1,135,46,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,25,-37.8411,144.9497,5,3280.0
6,10168,3,0,1110000.0,1,106,43,6.4,3078.0,3.0,2.0,2.0,208.0,126.0,2013.0,31,-37.7854,145.0325,2,2211.0
6,2516,3,0,1492000.0,1,106,48,6.4,3078.0,3.0,2.0,2.0,411.0,126.0,1970.0,6,-37.7713,145.0279,2,2211.0
6,9400,4,0,1717500.0,1,49,56,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,6,-37.7717,145.031,2,2211.0
6,7022,2,2,525500.0,1,146,7,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,6,-37.7791,145.0306,2,2211.0
6,8745,2,1,805000.0,1,146,7,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,6,-37.7804,145.0308,2,2211.0
6,4776,2,2,465000.0,1,140,7,6.4,3078.0,2.0,1.0,1.0,0.0,126.0,1970.0,6,-37.7773,145.0314,2,2211.0
6,12704,3,0,2000000.0,0,260,12,6.4,3078.0,3.0,3.0,2.0,686.0,126.0,1970.0,6,-37.78,145.0341,2,2211.0
6,9391,3,0,1540000.0,1,155,13,6.4,3078.0,3.0,1.0,2.0,592.0,126.0,1970.0,6,-37.7755,145.0288,2,2211.0
6,7326,2,2,820000.0,1,155,18,6.4,3078.0,2.0,1.0,1.0,183.0,126.0,1970.0,6,-37.7747,145.0264,2,2211.0
6,943,4,0,1830000.0,1,155,21,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,6,-37.7743,145.0316,2,2211.0
6,8224,4,0,2100000.0,1,155,21,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,6,-37.7723,145.0319,2,2211.0
6,6641,3,0,865000.0,3,260,24,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,6,-37.7802,145.0243,2,2211.0
6,10156,2,2,390000.0,4,155,24,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,6,-37.7773,145.0314,2,2211.0
6,11948,2,1,650000.0,3,27,30,6.4,3078.0,0.0,1.0,0.0,0.0,126.0,1970.0,31,-37.7848,145.025,2,2211.0
6,340,2,2,512000.0,1,127,31,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,6,-37.7805,145.0262,2,2211.0
6,5491,3,0,1165000.0,1,16,35,6.4,3078.0,3.0,1.0,2.0,979.0,126.0,1970.0,31,-37.7792,145.029,2,2211.0
6,1544,4,0,1900000.0,3,140,36,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,31,-37.7844,145.0225,2,2211.0
6,10926,3,0,1485000.0,3,140,39,6.4,3078.0,3.0,0.0,0.0,597.0,126.0,1970.0,6,-37.7781,145.0284,2,2211.0
6,9243,4,0,1950000.0,1,106,46,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,6,-37.7719,145.0309,2,2211.0
7,3119,3,0,520000.0,4,85,43,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,10,-37.87,144.825,6,5301.0
7,10710,5,0,1525000.0,1,85,45,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,10,-37.8721,144.8105,6,5301.0
7,305,2,1,720000.0,1,260,47,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,10,-37.8687,144.8197,6,5301.0
7,8438,3,0,1120000.0,1,15,48,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,10,-37.8693,144.8375,6,5301.0
7,409,3,2,630000.0,1,15,51,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,10,-37.8702,144.8143,6,5301.0
7,10124,2,2,406000.0,3,260,51,13.8,3018.0,2.0,1.0,1.0,65.0,126.0,1970.0,10,-37.8693,144.8171,6,5301.0
7,3104,3,0,660000.0,4,85,52,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,10,-37.8616,144.8116,6,5301.0
7,1529,3,0,683500.0,1,85,53,13.8,3018.0,3.0,1.0,1.0,530.0,126.0,1970.0,10,-37.8594,144.817,6,5301.0
7,327,2,2,580000.0,1,15,56,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,10,-37.8696,144.827,6,5301.0
7,546,3,1,800000.0,3,260,56,13.8,3018.0,3.0,2.0,2.0,280.0,126.0,1997.0,10,-37.8734,144.8143,6,5301.0
7,7082,2,2,510000.0,1,239,1,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,10,-37.8686,144.8182,6,5301.0
7,6198,4,0,1070000.0,1,15,1,13.8,3018.0,4.0,2.0,2.0,695.0,126.0,1970.0,10,-37.8733,144.8147,6,5301.0
7,8889,2,2,425000.0,1,260,1,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,10,-37.871,144.8185,6,5301.0
7,818,3,2,605000.0,1,104,2,13.8,3018.0,3.0,2.0,2.0,230.0,126.0,1970.0,10,-37.8646,144.827,6,5301.0
7,4060,3,1,705000.0,1,260,3,13.8,3018.0,3.0,2.0,2.0,197.0,152.0,1970.0,10,-37.8579,144.8181,6,5301.0
7,8820,2,2,391000.0,3,85,3,13.8,3018.0,2.0,1.0,1.0,0.0,65.0,1965.0,10,-37.8678,144.8384,6,5301.0
7,1721,2,2,440000.0,3,260,3,13.8,3018.0,2.0,1.0,1.0,0.0,126.0,1970.0,10,-37.8659,144.83100000000005,6,5301.0
7,5879,4,0,845000.0,1,260,3,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,10,-37.8658,144.8155,6,5301.0
7,373,3,1,743000.0,3,86,7,13.8,3018.0,3.0,2.0,2.0,211.0,176.0,1970.0,10,-37.8698,144.816,6,5301.0
7,8903,3,2,730000.0,3,15,9,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,10,-37.868,144.8286,6,5301.0
7,7077,2,2,620000.0,3,260,10,13.8,3018.0,2.0,1.0,1.0,168.0,126.0,1970.0,10,-37.8676,144.8202,6,5301.0
7,7195,2,2,447000.0,1,31,12,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,10,-37.8655,144.8299,6,5301.0
7,785,3,2,730000.0,3,15,13,13.8,3018.0,3.0,2.0,1.0,70.0,126.0,1970.0,10,-37.868,144.8287,6,5301.0
7,5460,3,0,678000.0,1,260,13,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,10,-37.8608,144.8124,6,5301.0
7,10193,2,2,580000.0,0,23,14,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,10,-37.8687,144.8268,6,5301.0
7,564,3,0,712000.0,1,260,17,13.8,3018.0,3.0,1.0,2.0,363.0,126.0,1970.0,10,-37.8674,144.8375,6,5301.0
7,6276,3,0,840000.0,3,85,18,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,10,-37.86,144.8245,6,5301.0
7,8443,3,0,980000.0,1,15,21,13.8,3018.0,3.0,1.0,2.0,724.0,126.0,1970.0,10,-37.8672,144.817,6,5301.0
7,1985,3,1,605100.0,1,260,24,13.8,3018.0,3.0,2.0,0.0,265.0,126.0,1970.0,10,-37.8583,144.8172,6,5301.0
7,3829,3,0,880000.0,0,15,26,13.8,3018.0,3.0,3.0,1.0,577.0,126.0,1970.0,10,-37.8699,144.8235,6,5301.0
7,7043,3,2,577000.0,1,251,27,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,10,-37.8684,144.815,6,5301.0
7,10331,4,0,1030000.0,1,15,31,13.8,3018.0,4.0,1.0,0.0,797.0,126.0,1970.0,10,-37.8663,144.8387,6,5301.0
7,4380,3,2,605000.0,1,15,31,13.8,3018.0,3.0,1.0,2.0,181.0,126.0,1970.0,10,-37.8659,144.822,6,5301.0
7,5835,3,0,753000.0,1,15,35,13.8,3018.0,3.0,2.0,2.0,529.0,126.0,1970.0,10,-37.8612,144.8247,6,5301.0
7,1282,2,0,857000.0,3,260,36,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,10,-37.8653,144.8129,6,5301.0
7,9696,3,0,1500000.0,1,15,38,13.8,3018.0,3.0,1.0,1.0,929.0,126.0,1970.0,10,-37.8651,144.832,6,5301.0
7,10161,3,2,730000.0,3,15,38,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,10,-37.868,144.8285,6,5301.0
7,5401,3,0,740000.0,1,85,39,13.8,3018.0,3.0,1.0,2.0,604.0,126.0,1970.0,10,-37.8631,144.8195,6,5301.0
7,6702,4,0,931000.0,1,222,39,13.8,3018.0,4.0,2.0,3.0,532.0,126.0,1970.0,10,-37.8637,144.8365,6,5301.0
7,4841,2,0,535600.0,3,51,46,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,10,-37.8646,144.8272,6,5301.0
9,8532,3,0,781000.0,1,104,43,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,10,-37.8291,144.835,6,5132.0
9,5275,3,0,750000.0,3,104,48,11.1,3025.0,3.0,1.0,3.0,554.0,126.0,1970.0,10,-37.8449,144.85,6,5132.0
9,7258,2,1,421000.0,1,260,48,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,10,-37.8351,144.8529,6,5132.0
9,3086,3,0,1405000.0,1,222,48,11.1,3025.0,3.0,1.0,3.0,655.0,126.0,1970.0,10,-37.8338,144.8562,6,5132.0
9,7724,3,0,683000.0,1,71,49,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,10,-37.8284,144.8355,6,5132.0
9,3199,3,0,623000.0,1,222,49,11.1,3025.0,3.0,1.0,3.0,540.0,126.0,1970.0,10,-37.8267,144.8368,6,5132.0
9,745,3,0,720000.0,4,85,51,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,10,-37.8379,144.8583,6,5132.0
9,920,3,0,588000.0,1,251,52,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,10,-37.838,144.8555,6,5132.0
9,9790,3,0,710000.0,0,239,53,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,10,-37.8294,144.8378,6,5132.0
9,5275,3,0,700000.0,4,104,2,11.1,3025.0,3.0,1.0,3.0,554.0,126.0,1970.0,10,-37.8449,144.85,6,5132.0
9,532,2,1,640000.0,1,251,4,11.1,3025.0,2.0,1.0,1.0,252.0,126.0,1965.0,10,-37.8397,144.8602,6,5132.0
9,4683,3,0,675000.0,1,260,10,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,10,-37.8337,144.8554,6,5132.0
9,1444,3,0,708000.0,1,85,12,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,10,-37.8258,144.8523,6,5132.0
9,3151,3,0,680000.0,1,222,21,11.1,3025.0,3.0,1.0,3.0,551.0,126.0,1970.0,10,-37.8254,144.8514,6,5132.0
9,7516,3,0,923000.0,1,85,24,11.1,3025.0,3.0,1.0,2.0,740.0,126.0,1970.0,10,-37.8269,144.8455,6,5132.0
9,376,3,0,620000.0,3,99,26,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,10,-37.8262,144.8443,6,5132.0
9,4172,3,0,728500.0,1,104,26,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,10,-37.8277,144.8385,6,5132.0
9,5809,3,0,931000.0,1,260,26,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,10,-37.8382,144.8649,6,5132.0
